id,doi,display_name,publication_year,type,cited_by_count,open_access__oa_status,host_venue__display_name,primary_location__source__display_name,primary_topic__display_name,primary_topic__field__display_name,primary_topic__subfield__display_name,biblio__volume,biblio__issue,biblio__first_page,biblio__last_page,fwci,authors,institutions,concepts_list,author_name,author_openalex_id
https://openalex.org/W4220681390,https://doi.org/10.1016/j.neubiorev.2021.12.020,Neuroinflammatory remodeling of the anterior cingulate cortex as a key driver of mood disorders in gastrointestinal disease and disorders,2021,review,49,green,,Neuroscience & Biobehavioral Reviews,Stress Responses and Cortisol,Neuroscience,Behavioral Neuroscience,133,,104497,104497,1.547,Aaron J. Gruber; Chelsea E. Matisz,University of Lethbridge,Anterior cingulate cortex; Anxiety; Central nervous system; Chronic pain; Cingulate cortex; Cognition; Cortex (anatomy); Disease; Immunology; Inflammation; Medicine; Mood disorders; Neuroinflammation; Neuroscience; Pathology; Psychiatry; Psychology; Retrosplenial cortex,A5044129448,https://openalex.org/A5044129448
https://openalex.org/W4406524713,https://doi.org/10.1016/j.jpet.2025.103389,Entourage effects of non-psychotropic cannabinoids (npCBs) on visceral sensitivity in experimental colitis,2025,article,1,closed,,Journal of Pharmacology and Experimental Therapeutics,Cannabis and Cannabinoid Research,Medicine,Pharmacology,392,3,103389,103389,4.98,Aaron J. Gruber; Amyaouch Bradaia; Chelsea E. Matisz; Christophe Altier; Gerald W. Zamponi; Keith A. Sharkey; Kristofer Svendsen; Manon Defaye; María A. Gandini; Nasser Abdullah,University of Calgary; University of Lethbridge,Analgesic; Cannabidiol; Cannabinoid; Cannabis; Chemistry; Colitis; Disease; Electrophysiology; Hyperalgesia; Inflammatory bowel disease; Internal medicine; Ionotropic effect; Medicine; NMDA receptor; Nociception; Organic chemistry; Pharmacology; Psychiatry; Receptor; Sodium; Sodium channel,A5044129448,https://openalex.org/A5044129448
https://openalex.org/W4396709360,https://doi.org/10.1063/5.0201838,Non-trivial relationship between behavioral avalanches and internal neuronal dynamics in a recurrent neural network,2024,article,5,hybrid,,Chaos An Interdisciplinary Journal of Nonlinear Science,Neural dynamics and brain function,Neuroscience,Cognitive Neuroscience,34,5,,,1.87,Aaron J. Gruber; Anja Rabus; Jörn Davidsen; Maria Masoliver; Wilten Nicola,University of Calgary; University of Lethbridge,Acoustics; Artificial intelligence; Artificial neural network; Biological neural network; Chaotic; Complex dynamics; Computer science; Demography; Discrete mathematics; Dynamics (music); Mathematical analysis; Mathematics; Network dynamics; Neuroscience; Physics; Population; Premovement neuronal activity; Probability distribution; Psychology; Recurrent neural network; Sociology; Statistical physics; Statistics,A5044129448,https://openalex.org/A5044129448
https://openalex.org/W3178697083,https://doi.org/10.1080/10253890.2021.1947235,Chronic unpredictable stress shifts rat behavior from exploration to exploitation,2021,article,20,bronze,,Stress,Stress Responses and Cortisol,Neuroscience,Behavioral Neuroscience,24,5,635,644,1.653,Aaron J. Gruber; Cecilia Badenhorst; Chelsea E. Matisz,University of Lethbridge,Chronic stress; Cognitive psychology; Developmental psychology; Economics; Internal medicine; Licking; Management; Medicine; Neuroscience; Open field; Psychiatry; Psychology; Task (project management),A5044129448,https://openalex.org/A5044129448
https://openalex.org/W4366977424,https://doi.org/10.1016/j.ins.2023.118999,"Hippocluster: An efficient, hippocampus-inspired algorithm for graph clustering",2023,article,7,hybrid,,Information Sciences,Complex Network Analysis Techniques,Physics and Astronomy,Statistical and Nonlinear Physics,639,,118999,118999,1.277,Aaron J. Gruber; Artur Luczak; Eric Chalmers,Mount Royal University; University of Lethbridge,Algorithm; Artificial intelligence; Cluster analysis; Clustering coefficient; Computer science; Graph; Mathematics; Random graph; Random walk; Statistics; Theoretical computer science,A5044129448,https://openalex.org/A5044129448
https://openalex.org/W4388233492,https://doi.org/10.1103/physreve.108.l052301,Changes in functional connectivity preserve scale-free neuronal and behavioral dynamics,2023,article,6,green,,Physical review. E,Psychedelics and Drug Studies,Psychology,Clinical Psychology,108,5,,,2.48,Aaron J. Gruber; Anja Rabus; Davor Curic; Ingrid M. Esteves; Jörn Davidsen; Victorita E. Ivan,University of Calgary; University of Lethbridge,Biochemistry; Biological neural network; Biology; Computer network; Computer science; Consciousness; Discrete mathematics; Dynamic functional connectivity; Dynamics (music); Functional connectivity; Gene; Information flow; Information transmission; Linguistics; Mathematics; Nerve net; Network dynamics; Neuroscience; Pedagogy; Philosophy; Psychology; Resting state fMRI; Robustness (evolution),A5044129448,https://openalex.org/A5044129448
https://openalex.org/W4385607029,https://doi.org/10.1016/j.bpsgos.2023.07.008,The Nonclassic Psychedelic Ibogaine Disrupts Cognitive Maps,2023,article,5,gold,,Biological Psychiatry Global Open Science,Psychedelics and Drug Studies,Psychology,Clinical Psychology,4,1,275,283,2.067,Aaron J. Gruber; Bruce L. McNaughton; David P. Tomàs‐Cuesta; Davor Curic; Ingrid M. Esteves; J. Davidsen; Majid H. Mohajerani; Victorita E. Ivan,"University of Calgary; University of California, Irvine; University of Lethbridge",Biochemistry; Biological neural network; Chemistry; Chromatin structure remodeling (RSC) complex; Cognition; Cortex (anatomy); Gene; Hippocampal formation; Histone; Neuroscience; Nucleosome; Psychology; Retrosplenial cortex,A5044129448,https://openalex.org/A5044129448
https://openalex.org/W4403136437,https://doi.org/10.1111/ejn.16558,Psilocybin reduces functional correlation and the encoding of spatial information by neurons in mouse retrosplenial cortex,2024,article,2,hybrid,,European Journal of Neuroscience,Psychedelics and Drug Studies,Psychology,Clinical Psychology,,,,,1.157,Aaron J. Gruber; Artur Luczak; Bruce L. McNaughton; David P. Tomàs‐Cuesta; Ingrid M. Esteves; Majid H. Mohajerani; Victorita E. Ivan,"Douglas Mental Health University Institute; McGill University; University of California, Irvine; University of Lethbridge",Cortex (anatomy); Hallucinogen; Neuroscience; Perception; Psilocybin; Psychiatry; Psychology; Retrosplenial cortex,A5044129448,https://openalex.org/A5044129448
https://openalex.org/W3210081606,https://doi.org/10.1088/2632-072x/ac35b4,Deconstructing scale-free neuronal avalanches: behavioral transitions and neuronal response,2021,article,10,gold,,Journal of Physics Complexity,Neural dynamics and brain function,Neuroscience,Cognitive Neuroscience,2,4,045010,045010,1.091,Aaron J. Gruber; David T Cuesta; Davor Curic; Ingrid M. Esteves; Jörn Davidsen; Majid H. Mohajerani; Victorita E. Ivan,University of Calgary; University of Lethbridge,Cognition; Cognitive psychology; Demography; Hippocampus; Mnemonic; Neuroscience; Population; Prefrontal cortex; Psychology; Resting state fMRI; Sensory system; Sociology,A5044129448,https://openalex.org/A5044129448
https://openalex.org/W4395010892,https://doi.org/10.22541/au.171378690.00112411/v1,Psilocybin reduces functional connectivity and the encoding of spatial information by neurons in mouse retrosplenial cortex,2024,preprint,1,green,,Authorea (Authorea),Psychedelics and Drug Studies,Psychology,Clinical Psychology,,,,,,Aaron J. Gruber; Artur Luczak; Bruce L. McNaughton; David P. Tomàs‐Cuesta; Ingrid M. Esteves; Majid H. Mohajerani; Victorita E. Ivan,"McGill University; University of California, Irvine; University of Lethbridge",Cortex (anatomy); Hallucinogen; Neuroscience; Perception; Psilocybin; Psychiatry; Psychology; Retrosplenial cortex,A5044129448,https://openalex.org/A5044129448
